NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
Start Outreach,The Calgary School Division,Public School,Start Outreach,4110 - 79 Street NW,Calgary,AB,Senior High,N,Provincial Data,1232,N,N,N,Y,2/28/2021,T3B5C2,1417013,-114.2019032,51.08942953,"(51.08942952683853, -114.20190323510076)"
University,The Calgary School Division,Public School,University School,3035 Utah Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,9237,N,Y,N,N,2/28/2021,T2N3Z9,1398634,-114.1332756,51.0698082,"(51.06980820007824, -114.13327561326304)"
Phoenix Education Foundation,Phoenix Education Foundation,Private School,Phoenix Education Foundation,320 19 Street S.E.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,1264,N,Y,Y,Y,2/28/2021,T2E6J6,1005179,-114.0078257,51.05026416,"(51.0502641577022, -114.00782569956368)"
Banbury Crossroads,Banbury Crossroads School,Private School,Banbury Crossroads School,B1 #201 2451 Dieppe Avenue S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9935,N,Y,Y,Y,2/28/2021,T3E7K1,1379081,-114.1190388,51.01928658,"(51.01928658422201, -114.1190387515867)"
St. Gerard Bilingual,The Calgary Roman Catholic Separate School Division,Separate School,St. Gerard Bilingual School,1204 - 96 Avenue S.W.,Calgary,AB,Elementary,N,Provincial Data,8517,N,Y,N,N,2/28/2021,T2V0Y1,1382275,-114.0884791,50.96887003,"(50.96887003157332, -114.08847911062506)"
Centennial High,The Calgary School Division,Public School,Centennial High School,"55 Sun Valley Boulevard, S.E.",Calgary,AB,Senior High,N,Provincial Data,1224,N,N,N,Y,2/28/2021,T2X3W7,1382256,-114.0533548,50.90610968,"(50.90610968295476, -114.05335484657195)"
St. Mary's High,The Calgary Roman Catholic Separate School Division,Separate School,St. Mary's High School,111 - 18 Avenue S.W.,Calgary,AB,Senior High,N,Provincial Data,8904,N,N,N,Y,2/28/2021,T2S0B8,1382530,-114.0640176,51.03661432,"(51.03661432292529, -114.06401757166121)"
Midnapore,The Calgary School Division,Public School,Midnapore School,55 Midpark Rise S.E.,Calgary,AB,Elementary,N,Provincial Data,9363,N,Y,N,N,2/28/2021,T2X1L7,1382577,-114.0551747,50.91504021,"(50.91504020740219, -114.05517470231423)"
Maple Ridge,The Calgary School Division,Public School,Maple Ridge School,10203 Maplemont Road S.E.,Calgary,AB,Elementary,N,Provincial Data,9321,N,Y,N,N,2/28/2021,T2J1W3,1382591,-114.0419588,50.96189052,"(50.96189052183626, -114.04195879903295)"
Bishop Kidd,The Calgary Roman Catholic Separate School Division,Separate School,Bishop Kidd School,1420 - 28 Street S.E.,Calgary,AB,Junior High,N,Provincial Data,8702,N,N,Y,N,2/28/2021,T2A0Y8,1382822,-113.9921283,51.0405772,"(51.04057719608583, -113.99212831476665)"
John Ware,The Calgary School Division,Public School,John Ware School,10020 - 19 Street S.W.,Calgary,AB,Junior High,N,Provincial Data,9603,N,N,Y,N,2/28/2021,T2V1R2,1382592,-114.1053048,50.96365477,"(50.96365476745737, -114.10530480453536)"
Willow Park,The Calgary School Division,Public School,Willow Park School,343 Willow Park Drive S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9331,N,Y,Y,N,2/28/2021,T2J0K7,1382886,-114.0606873,50.95779616,"(50.95779615801264, -114.06068732190757)"
Clear Water Academy,Clear Water Academy Foundation,Private School,Clear Water Academy,2521 Dieppe Avenue SW,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,7976,N,Y,Y,Y,2/28/2021,T3E7J9,1000708,-114.120974,51.01937604,"(51.01937604175609, -114.1209739609144)"
Westmount Mid/High,Westmount Charter School Society,Charter,Westmount Mid/High School,2215 Uxbridge Dr. N.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,6002,N,Y,Y,Y,2/28/2021,T2N4Y3,1401708,-114.1325128,51.07104759,"(51.07104759417764, -114.13251279283388)"
